,C3L-03394,C3N-03428,C3L-02112,C3N-01719,C3N-03670,C3N-02998,C3N-03211,C3L-01052,C3N-00512,C3N-02295,C3N-01012,C3N-01502,C3L-01053,C3L-03632,C3L-00401,C3L-01054,C3N-00517,C3N-03440,C3L-04495,C3N-04284,C3N-00957,C3L-03395,C3N-00303,C3N-00513,C3N-01166,C3N-01382,C3N-01011,C3L-04473,C3L-00640,C3L-00189,C3N-01998,C3L-01036,C3N-03069,C3L-00881,C3N-01715,C3N-03426,C3N-00198,C3N-01380,C3N-01388,C3L-03388,C3N-02589,C3L-03356,C3N-02944,C3N-00436,C3L-00928,C3L-01124,C3N-02592,C3N-01383,C3N-03439,C3N-03006,C3N-01165,C3N-03173,C3L-04475,C3L-04853,C3L-02701,C3L-00102,C3N-01375,C3N-03884,C3N-01168,C3L-00622,C3N-01381,C3L-01703,C3L-02118,C3L-03628,C3N-03780,C3L-01637,C3N-04119,C3L-02899,C3N-02971,C3N-02573,C3L-00819,C3N-01714,C3L-02116,C3L-01453,C3L-03635,C3N-00518,C3N-03840,C3L-02606,C3N-03061,C3L-04848,C3N-00514,C3L-02897,C3L-01687,C3N-02940,C3L-04080,C3N-03853,C3N-04283,C3L-02109,C3L-03630,C3L-01662,C3N-00709,C3N-03007,C3N-03665,C3L-01598,C3L-00599,C3L-01051,C3N-01716,C3N-03839,C3L-04479,C3L-00625,C3N-03754,C3L-01037,C3N-03666,C3N-04126,C3L-00017,C3L-01689,C3L-04027,C3N-02585,C3N-03039,C3N-03086,C3L-02463,C3N-00249,C3L-00589,C3N-00302,C3L-03743,C3N-00511,C3N-03190,C3N-00516,C3L-02610,C3N-02579,C3N-03000,C3L-00598,C3N-03430,C3L-02809,C3N-02768,C3L-03123,C3N-02010,C3L-01031,C3N-01167,C3L-01971,C3L-02604,C3L-00277,C3L-01328,C3L-03639,C3N-04282,C3L-04072,C3L-02613
hsa-let-7a-2-3p,1.63569463475795,NA,NA,NA,NA,0.642874188999498,1.65451939114399,NA,NA,0.240370875070596,1.14569117330077,NA,1.12433648039885,0.886952728209101,-0.0580102584292959,NA,NA,NA,1.50112859555746,NA,0.807474821008852,0.913839906331486,1.02831073173294,-0.0325246925964396,0.979753876002628,NA,0.261120176837028,1.69649173225136,0.272196942455219,1.21442374915725,NA,1.08520416145733,2.42387709150824,NA,1.00174774306591,1.0665776236668,0.531129550279059,NA,2.07707147268913,NA,NA,1.05193485519978,1.1096239182383,NA,NA,1.05538491401826,3.24526639351548,NA,1.16963792081283,NA,NA,NA,NA,1.20913776177077,0.591280169302465,NA,0.467338863250426,-0.652737129219584,0.224594478138951,0.910985612754772,0.538907595096247,NA,NA,-2.32461755925299,1.15491385984178,3.89528046170766,NA,NA,-0.677000306164418,0.78823679615765,0.689698994461066,1.09801187377841,NA,0.8842286393659,NA,1.69108957488305,2.14688260877645,NA,1.91104110246259,NA,1.10449763471991,NA,NA,NA,NA,1.33919301419125,NA,0.764979746824606,NA,NA,NA,0.723885959828787,1.08475967287289,0.0132096318896249,0.705398287263734,NA,NA,-0.0608216455148853,NA,NA,3.05695937052243,NA,0.649365904372318,1.34452482241805,NA,NA,NA,NA,1.31847745108664,0.890242933843681,0.835076573985479,0.640746703199432,NA,0.970494691240677,NA,-0.235022387007109,0.784403677834113,NA,NA,0.572670057358468,NA,NA,NA,NA,NA,0.163775725542485,0.59634245761803,1.13763387480854,NA,0.638575365891058,1.57463940167521,NA,NA,NA,2.37777497249621,NA,NA
hsa-let-7a-3p,6.51172540311842,6.23668701660103,5.99879191862171,6.38793252950116,6.42242097548243,5.52812744745432,6.41435850238162,6.28993281081257,6.26655013506332,5.88232032252054,6.4725503595543,5.94388998614366,6.19008529265922,6.60410013169106,6.25361949734382,6.2963436643468,6.78049336219897,6.34206371257527,6.39267130611942,6.30931911684759,6.14267462464499,6.28258939907809,6.13988439976454,6.49478934454602,6.29459079707039,6.42872736166523,5.97329885386533,6.28567751133979,6.3155679608594,6.05735951640507,6.07756877823372,6.01570415680517,5.59900048185342,6.04416577771559,5.8545114458381,5.5235042494095,6.3213470318933,6.04913248920739,6.09446203502867,6.71379114028892,6.32499898613272,6.39345471462284,6.64522989126498,6.215381646202,6.33318688328269,6.27797705294673,6.51487658288945,6.12073140430988,5.83022889423663,5.95933528230536,6.3106502303399,6.1244386123319,6.18441904887033,6.00153788365466,6.30409168246279,6.20537584297457,6.00406169464094,5.3729199117445,6.4822892047164,5.59898196338638,6.53444974072574,5.88734924848753,6.35120833975865,6.67422787429867,6.14171798285879,6.64212820164654,6.15491385984178,6.55824547443009,5.72879427098509,5.8372243818077,6.64492778872294,5.85305879721389,5.81505095981612,6.44141969607623,6.28798478909534,6.35871460372549,6.35516502923802,6.14813460068347,6.60631422741375,6.25271012532584,6.48482852762707,5.55670266532385,6.39132192865136,6.37855195853367,6.70807964960697,6.44791231674154,6.16848220369505,5.60266935448734,5.70132974199825,6.90187594787945,6.76591566813766,5.48541972468906,6.24880531537703,5.9274786740365,5.61368813867972,6.28267030688285,6.04992781108823,6.30371988147032,6.20004623163264,5.73004515375415,6.87130046644985,6.44439353878397,6.05695937052243,6.21998649463298,6.08267680270654,6.65344720748065,6.19643568518423,6.738600094412,5.91738532828714,6.15163765698802,6.20274974403314,6.19640371287273,5.75018767639897,6.25839782262676,5.74163373036362,6.37174523878945,6.35440859312957,6.73652116694366,5.83041607559095,6.4569523147576,5.17480377992004,5.88373715961406,6.10002739783224,6.38644571674912,5.30502024637617,6.06210324552946,5.91934311622677,6.46267837933112,6.56663595080184,6.22646484801622,6.55068034700986,5.69321958194327,5.63946140273145,6.18452200318339,5.5590069272118,6.20314453088823,6.01262634900973
hsa-let-7a-5p,15.1889882788728,15.0054916330568,14.4596693650475,14.9482653637136,15.080377362302,15.2789274657632,15.1913397753957,14.4313716286316,14.3854960307811,15.1780892569411,15.1080211536684,13.8794226137715,14.4872004111375,15.4835608542291,13.7807804977587,14.3491546210841,14.4524792098475,15.2356686174336,15.1486130246549,15.495545930619,14.3341530651654,15.1492501498981,13.9474391198643,14.1515229185922,14.1703530888715,14.1002963141831,14.4281897941558,15.0813925178415,14.1105478338161,14.5203020662249,13.9582175913791,13.8042813971502,15.0832191902866,14.1795398893544,13.8299896461074,14.4532558028268,14.1155739112719,14.1876067272162,13.8839021026021,15.0629407039113,15.2334706175607,15.2038733350942,14.9829286816334,13.9596129977229,14.4522415913229,15.0077865938619,15.3008194022817,14.2557498011241,14.9892592545757,15.2304799399026,14.008890926651,15.0886945282597,15.3090845685675,14.6903024309116,14.8536138433517,13.9685405276367,13.9567186443772,14.7296469692091,14.2387733090076,14.0617928203661,14.2190068474151,14.291836250308,14.3798556948719,15.1150140067119,15.3485288629964,14.1709356257234,15.1294180775193,15.0420612516944,15.0876285898627,15.2885940228464,14.2508424572429,14.0022612187568,14.1350464586591,14.2497714113704,15.3007257071837,14.0393691771171,15.1574262833909,14.2343323514481,14.8333831359597,14.9950561784999,14.0914452854123,15.1985537192082,14.1671081474847,14.9670693564315,15.1387412723606,14.9596649705089,15.3281733725006,14.2487552476023,14.7274758942641,14.2221325858997,14.8939099891141,14.9743412970138,14.9723549736416,14.0272743077945,14.0248687295055,14.4756297399562,14.1175293592607,14.9282107463781,14.8780594321394,14.2999755693258,15.1750812146269,15.1497209918347,14.9902811912554,15.2473105246597,14.1666662066624,14.1247385844415,15.1761356848063,15.1000378073268,14.7430861686436,15.2480233914407,14.3939566005747,14.530296260461,14.2994837512619,13.723053780211,15.0326399356381,14.1590163482891,15.1452095865263,14.1082790133586,14.3257961175399,14.8553073496242,15.0230354810139,13.7184748634869,15.0077374737473,14.9148998275139,14.9902696287053,14.3356398563145,14.7477063145002,13.8032370306205,14.1542119264651,14.1656178792905,14.8690447635742,13.8362979761611,13.9007879628808,14.9192316234092,15.161919878997,14.5312288916514,14.0826968760048
hsa-let-7b-3p,7.63948095031679,7.28108113595949,8.40666274243601,7.28101732558465,7.4730470485524,6.75051986879077,7.3148228288307,8.62428290684884,8.40149168648054,7.4672828232417,6.82047366297461,7.82366262280724,8.95526528521433,7.35256136469509,7.53856867960605,8.48649369385315,8.46903226636268,7.4795672363252,7.6365968890055,8.09781501165388,8.92470676653926,7.32989511385645,7.92251847117056,7.96550202615398,8.35145680477698,8.35357729868593,8.41557293741798,7.58824028136022,8.06946562076045,7.87658853875097,8.23753725264361,8.1548669044768,7.18396298257458,7.96219327135199,7.85378409768007,7.26046984357571,8.05177189899723,8.01089549804196,7.9705152267146,7.45075673445513,7.36247369155138,7.04553141120253,7.17956631891617,8.11385038303342,8.12440523679495,6.63161400756143,7.48573023722993,8.48943790439023,7.10324738864305,7.56599285412584,8.28635318434057,7.16625878802652,7.3288089582055,6.55793123217905,7.3682220198825,7.88920420350778,8.17021888239585,7.43900910220228,8.46018280999942,8.09713229817726,8.13748381436891,8.0174176905717,8.58582170643322,7.0747658038824,7.54164858974742,8.65908863340636,7.26343831661995,7.16829895611408,7.42923398912618,7.26606768061158,8.07888871984412,7.95107237281364,8.29208856694041,8.30774372508353,7.22658424443119,7.92441296571422,7.06143382618131,8.43010299769812,6.84732232691754,7.2210012655985,8.19232721285261,7.19413258593914,7.95047011169817,7.08482075547696,6.0865912728607,7.24146143927411,7.06156699977854,8.46483439258282,6.24189812336095,8.74395496433968,7.1809531674165,7.24441162518527,7.0827953639381,8.23207689038594,7.83926545918788,8.47527363957312,8.05877729994199,6.81829305430008,7.07451534954878,8.0529205205343,7.48797182689834,7.26382129314215,6.51639098915972,7.61591517096412,8.18648210570846,8.27738310235311,7.45019227743001,7.68201656604563,7.05488885203707,7.76634750110323,8.79042356868874,8.01053716756139,7.95579582488096,7.69657140333429,6.74163373036362,8.26990182563695,6.93937109385073,8.35494079477241,8.2706055545315,6.75240819828377,6.9296912820835,7.93285872742118,7.47348579335968,7.67184793561137,7.14152151409329,6.06210324552946,6.96996918929674,8.10511683102778,7.89016392945825,8.15354345503385,7.00319255170737,7.9525254033549,7.84252765684968,7.23514807625335,7.63992692259536,7.12514201888695,8.31375847962506
hsa-let-7b-5p,13.932075551246,13.3870689854189,12.9446622967192,13.7233228841951,13.7736757416393,13.7938727069486,13.9347807509081,12.949299861668,13.2067954967713,13.525775708003,13.7105207484197,12.5894677692502,13.1617669791267,14.0959532280207,12.4381750827961,12.8363052701665,12.9765021537983,13.7083859268211,13.515431199483,14.401595759831,12.8813298872154,13.7861501549736,12.7679142511189,12.3809189532652,12.6778339513687,12.9171601891309,13.3639979982457,13.1593266832032,12.3553501553053,12.8196492669311,12.2767145402857,12.7711270184033,13.7907999829185,12.683805473447,11.7091787846386,13.5309987859564,12.6856054661633,12.3951662525027,12.2833508842358,13.4699502996884,13.3882521327425,13.7971769006739,13.6389979375535,12.5812079631714,12.8531196081527,13.3254039567748,13.6642172521757,12.7596910688272,13.0954532311613,13.8784694736686,12.7137571541565,13.7490728221691,14.1176437922923,13.5579312321791,13.2963863319,12.4472687850546,12.7406885882443,13.8486533427109,12.8236624414729,12.9021754292086,12.9178152133201,12.7895423766023,13.0076588990774,13.4253701990256,14.1267692720422,12.0782834698505,13.8955379043312,13.5540869929484,13.6210840942019,13.8883287227557,12.5634034732137,12.3857964510328,12.7902518351519,12.7699698806424,14.1696086260934,12.8620864499318,13.6070834028776,13.089580651635,13.7592904019151,13.4773410188583,12.6137589210449,13.5567026653239,12.5990647898051,13.4457740073464,13.6251533124852,13.6429973920822,14.2851974672228,12.8185126310104,13.2298726476571,12.7295211755617,13.5174597272268,13.8544297739758,13.3600544094917,12.6511454065005,12.7552641844722,12.871842868208,12.5896893272394,13.3218538101956,13.089803677438,12.647870375207,14.2200286206809,13.6692464442237,13.9913874111492,13.946115003815,12.766205728182,12.6734873741097,13.7877422478771,13.4374383007799,13.1866678817861,13.8611523176947,13.5049631522552,13.1148476153822,12.91737771012,12.4683871261017,13.7278821175854,12.5041206691741,13.7095149368113,12.9375353417001,13.079385991106,13.2353281698434,13.705697761114,12.7610734547667,14.0019913123608,13.6212631478664,13.8020166459818,12.7517130304698,13.0500975203884,12.0433589751553,12.0011138091462,12.5835665134134,13.4352525631948,12.6055260646,12.2610626836951,13.8034318358279,14.15548341595,13.5708466544127,12.6278101489018
hsa-let-7c-3p,1.75683790095495,NA,3.12923410771551,NA,NA,3.35820244601201,NA,2.53903837801496,3.1950877725067,NA,NA,1.31837338707187,3.13320022911757,NA,1.9019440590624,2.31991213548521,2.47250445826948,NA,2.14474379267583,2.8498874982103,1.61215990794621,2.37569880346957,1.26690643964615,2.4498928065717,2.08564390679889,1.32111226201826,2.69596091000204,2.37878691573127,1.20453664847066,2.69649173225136,2.83854376500903,1.58639252654421,NA,2.19211936537384,1.22224323033859,NA,2.27637012317492,3.92838032974678,1.78266831727502,NA,NA,3.58609979256524,2.78724889613741,2.43758854769753,2.0764570543031,NA,NA,2.44533143233427,2.24526639351547,NA,2.55210755763524,NA,NA,1.91407504240432,NA,2.66856938040807,2.54237056882152,NA,1.41842926276948,0.832689697950658,1.51410109533394,2.39641243992501,1.69644887208273,NA,2.55675548213763,0.549851558663154,NA,NA,NA,NA,1.00107159894822,1.55875495003488,3.09179743803241,2.64115419880494,NA,2.18378892122481,NA,1.58215520332989,3.14688260877645,1.72914816926883,2.53119303164605,2.38677766388154,2.18541763010348,NA,2.38615155471961,NA,NA,2.38101318988588,NA,1.09755508591148,NA,NA,2.72524335932002,1.64988537838501,2.57018650004313,2.63211946453412,1.58675379076512,NA,NA,2.15217207781931,NA,NA,NA,NA,3.23432840509347,0.582684559612817,NA,NA,NA,NA,2.78662628682505,2.32087728817354,2.22935551309753,1.31881860831207,NA,2.55545719196183,NA,2.26747795352207,2.87500622661502,NA,NA,1.25074196247111,NA,2.38644571674912,NA,NA,NA,-0.573189868623721,3.27245284639738,2.70699952047868,NA,1.01054414327802,2.29453148248247,NA,NA,NA,NA
hsa-let-7c-5p,12.8666685552337,11.5920381130258,14.0821114043015,12.0583358738874,12.595205631064,12.499032216785,12.8316484533918,14.1282143561501,14.2230477482152,12.5365585308224,12.296207093941,13.5693106585901,14.3064048074464,12.747330266468,13.4708660429163,14.0356199623324,14.0961221966522,12.0645297370464,12.0011693213014,12.6859378532684,14.0411112915224,12.4458197479464,13.6819359338921,13.7071925848442,13.88632849125,13.9680817818308,14.2914211111165,11.9842664337929,13.6120806018223,14.1412234085908,13.5300607089622,13.6199406696909,11.543858927661,13.8510693090964,13.2036321264558,11.0626630605175,13.8064772903257,13.7027316325016,13.5167173977344,12.0271061048716,12.2050657936655,12.5099224539086,12.3157030069022,13.7132604238848,14.0966658234609,12.1700981892249,11.7718872010955,13.9801398376499,11.7844252046235,12.5187992847897,13.8313683096266,12.6645096555544,12.7055028565238,11.9815094031608,11.5433647305958,13.6351403751001,13.7618833618485,11.916918361879,13.9979971703791,13.9101372897975,14.0146714087647,13.9641308977758,14.1909639711212,11.8867972131495,12.6782889994777,13.5824687011248,11.9686950510588,11.930537786494,12.0804697092665,12.3965279273574,13.8870896261587,13.5626120689597,13.8404209462442,13.9496939982882,12.4486966123763,13.8372078337813,12.1638752309076,14.1548879338775,11.8542417408573,12.443393686935,13.7568795883902,11.9885484522892,13.7982777522684,11.9808112827359,12.0155081747992,12.0994424344017,11.5827144029023,13.9186545451351,11.453786417907,13.8851876187166,11.9491374921934,12.1102854616377,12.3605080158595,13.7509020891688,13.7446409196091,14.1287874802196,13.7574836430182,12.0863281411922,11.7236081876896,13.9404665858771,12.2704715602697,12.136650052677,12.2218662971981,12.3643764039682,13.7989124870935,13.883509600675,11.8201765136619,12.1136395257589,11.5003426931179,12.6424885337283,14.3797923840689,14.1903281009889,14.0173822416644,13.4880781509727,12.3114893386946,13.7325245987564,11.8849233098283,14.0162627589596,14.1085008629967,11.5289021566366,11.6505372108864,13.6618556779925,11.9970477494167,12.1194610384351,11.6269483412635,10.7686951906521,11.4826756009764,13.3386806077917,13.4354863261984,13.8077975306494,11.4626241703447,13.6048051199454,13.4984038158481,11.435158803885,12.1793677579523,11.5174594416657,13.809585944972
hsa-let-7d-3p,6.92676290239726,6.69611863523833,7.42942627295157,6.75050260888587,7.36995355558829,5.81763406464931,6.59493074802344,7.74965520744962,7.75207273010116,5.96032283452182,6.33504683580437,7.78554988286445,8.12060019233794,5.76759886397394,6.2394172985744,7.55796296948755,7.762877819282,6.54369757374492,6.84518351081692,6.6572424202679,8.1684530658361,6.07613852161066,7.51770727616835,7.03554608779008,8.02495598009979,7.77196489576678,7.80660497368603,6.37878691573127,7.89941684126985,7.15158627857092,7.07458902838087,7.7833857711847,6.3645352282164,7.27147715698713,7.46827121086669,6.63898146682944,7.03125762533838,7.60633295950563,7.69531818217223,6.71379114028892,5.24699647413145,5.00113729184408,5.37221139685857,7.41966663970027,8.08950376141985,5.42998014639178,4.87102039311472,8.13624837635686,5.94570611165657,6.25479116583153,7.7636958774694,5.94386636669008,5.5214540361479,6.30639246518309,6.54509978196658,7.39401310467906,7.75518138311701,6.27981050735302,8.05330288781665,7.30145918116729,7.97651041377113,7.41687654248473,7.36838640507548,5.61533418524511,5.36411040419523,7.5832745602006,6.61434547847908,6.39778080223685,6.78768796003865,5.72174716438777,7.51529250830635,7.63446460985954,7.4654268399064,7.64996726861125,5.79048512962452,7.22818304058326,5.91459243785204,7.63424371447834,7.05377320438497,5.63603876487734,7.60890962933162,5.84620928251883,7.54488768735182,5.3005494465324,4.70807964960697,5.86294981602038,7.00498347141217,7.910387965067,7.09987911848852,7.38186888899906,5.98830808947411,5.69187060215649,6.0827953639381,7.77373450927935,6.9038438875126,7.61948263885619,6.73475817395051,5.81829305430008,5.42243865296908,7.56853497456473,5.28633796572869,6.05737041567472,6.22688437196474,6.05952182243973,8.03033954295692,7.93679017762369,6.30335088910074,6.56172233232792,5.01049473267862,5.73660015770918,7.77078734061175,7.51197631272027,7.4698357743471,7.17602207982024,6.39371042694331,7.94528334311326,6.35440859312957,7.04265246983053,7.54176281849982,6.08498353737064,5.75976628064119,6.92228302918299,6.81052078063725,6.08688543489021,5.08262782503973,6.97964108533749,5.69695069489033,7.46755647371959,8.11580778515556,7.81415972652551,6.2096434291748,7.45046944756383,7.38502201643038,6.54709208256809,6.50242339884543,5.86210761305316,7.73297922225787
hsa-let-7d-5p,13.1486185069681,13.2790303963947,11.9209751636837,13.1711646573586,12.985753460232,13.3971214353043,13.1683551770757,12.0172495767567,11.9349211113983,13.3266450487676,13.0424059678853,11.4184823863288,12.216806736942,13.175776941662,11.3037124565169,11.9056745201793,11.739786344906,13.256149809588,13.0974850398623,13.1986156524414,12.7724282021468,13.0105098536413,11.573900203,11.538726726939,12.0086047239116,11.7334980152843,12.0757787307564,13.226627271362,11.7354501320004,11.5640910222921,11.5039258299764,11.3848643276458,13.3364168477905,11.7424538932772,11.7742878573175,13.201810949061,11.3817548724225,11.6332171711969,11.4551290189858,13.2843697228474,13.1992523739489,13.310045095908,13.2725750853779,11.6617986973826,12.1016127158428,13.1694232441642,13.2520225026656,12.0074483032782,13.4473902173459,12.9967574410561,11.8476091879957,13.0249502953777,13.5030213180509,12.8913549659042,13.2299832400014,11.5326617064936,11.5828964913312,12.9227045796924,11.9833343054779,11.6637706898835,12.0378412388846,12.0408867951198,11.7954111625293,13.1467156457614,13.2934392724079,12.1328274495749,13.1657915828488,13.201342151136,13.4071009706366,13.3745921373897,11.8897435102916,11.7339818439388,11.7702944835863,11.6620524564612,13.3486807207829,11.4866063146541,13.1212579861094,11.8001366525838,12.9726364416596,13.0272107369878,11.8908103038033,13.1358090459217,11.7450901999266,13.0329995595761,13.3769646338732,13.1612415466405,13.2859397852432,12.2784913362484,12.9397344813233,12.0564702420028,13.0327022088326,13.1799785210496,13.1517702077718,12.0212894813693,11.4399219636996,12.036963985189,11.6173421105985,13.2858986043831,12.9097044798031,11.5980795299061,13.1014009829216,13.2547761535391,13.099986654117,13.2803980113288,11.7987119224312,12.0087213679965,13.4036377707087,13.4470208122957,13.259015337617,13.0786748257083,12.0700772977684,12.1204461560958,11.8994151658683,11.3445205320475,13.4361159932083,11.733057276717,13.1553084930499,11.5098815097393,11.9668899958628,13.0507678220327,13.0288929597906,11.2711576959162,13.33103033559,13.0842820747115,13.0084294922365,13.0457302757953,12.9908054787834,11.3142846307065,11.6084507667615,11.6254739086316,13.7855607902929,11.5280793293025,11.5998604054305,13.179683446247,13.2144688473991,12.5541999884807,12.0239136229474
hsa-let-7e-3p,6.07876599584231,4.82164951732219,4.72761712419899,4.90250570233092,4.61506605342482,5.52812744745432,5.09243040749426,4.98864902584123,4.49429579089398,5.03432341596559,3.59808124163816,3.52987749226558,4.80341001645724,5.2821720368037,3.6815539906371,4.74989997623002,4.77768928932227,NA,4.46667188756319,5.17181559309766,4.42712801411369,4.37569880346957,3.82242516247482,4.25012329419592,4.86325148546244,4.78623499273341,4.85422299391877,4.96374941645243,4.60507457805439,4.49995273820448,4.17167006650125,3.95985092207166,4.86203488768721,4.08520416145733,3.30970607158893,2.93854174868835,4.24230828710128,4.75415519087084,4.32368747040858,5.12882863956777,4.66203397341029,5.70157700998517,5.24668051477471,4.06928209876368,4.63887698637317,5.42998014639178,4.45598289383588,4.93887090529184,3.24526639351548,5.08486616438922,4.37909128644178,4.03697577108156,4.5214540361479,3.91407504240432,5.30409168246279,3.95509213916423,4.33544126487288,4.18027483380211,4.32199950008639,4.22990592014226,4.86845066791368,4.88918124243642,4.55271339462128,4.03037168452395,5.29372107630384,4.34308537247611,4.85535357798287,4.31031796098651,2.14383177026393,5.13678466366661,4.32750108607052,4.48213366843197,4.42666458862727,4.44850912086255,5.16245390701148,3.87028944840803,4.4291656106818,4.85809709294307,4.95423753083405,4.53650309132643,4.41354144299177,4.38677766388154,4.73497479469343,4.93797936714769,4.70807964960697,5.12598422185417,4.68305537652481,4.79088898404894,3.24189812336095,3.97587652932322,4.76591566813766,4.59233492860557,3.72524335932002,5.12305705364861,4.17464517639008,4.26113714533321,4.19218039404599,3.49636495941272,4.20004623163264,4.26110644937248,3.96440987084133,4.35693069753363,6.37888746540979,3.55702148191055,4.64936590437232,4.71017429473473,5.95542758568043,5.4975919949082,4.01049473267862,3.73660015770918,4.46143540492868,4.14804069131133,3.93941323380022,3.81866449539527,5.51924130902717,4.20182023734713,5.50641168657462,4.1686997990439,4.67697460212557,1.9975206961203,4.17480377992004,4.31143789415866,4.9625238740823,4.97140821747028,5.30502024637617,5.21410633897451,2.11198819416917,4.18762246749685,4.49063301644692,4.26558660577554,NA,4.48184986220361,4.15960190239636,3.96212958184694,4.85856720907071,1.95521701744464,3.34535349480383
